Name,Degree
prada,1005
MIUMIUofficial,107
prada_japan,49
lunarossa,31
FondazionePrada,13
shapeafuture,6
RealisticPoetry,6
sixlifeor,4
pelella,3
StefanoCavaleri,3
JaneDoeShop,3
paolasai,3
RugbyHsbc,3
ginenghi,3
vtIRkbllPeEUvLR,3
dexderrewedd447,3
VomitOlympic,3
eQguCtLfWxXErtQ,3
Nan_Ortiz_,2
progetto1990,2
