Name,Degree,Eigen
LouisVuitton,1006,0.7055025433597724
LVMH,31,0.04546511481669731
virgilabloh,20,0.037243008259030756
LouisVuitton_JP,16,0.034733381181120494
LVServices,12,0.03060165501471981
FondationLV,7,0.027846177783562083
TWNGhesquiere,5,0.02607356449747127
Ahyde_1,4,0.025434864333476245
Crys_Berry,3,0.024473297281125243
Sebinho0212771,3,0.024473297281125243
