Name,Degree,Closeness
gucci,1359,1.0
ELLEmagazine,252,0.551094890510949
voguemagazine,243,0.5490909090909091
BritishVogue,233,0.5468812877263581
Fashionista_com,230,0.5462218649517685
TheCut,224,0.5449077786688051
BoF,212,0.5422984836392658
harpersbazaarus,209,0.5416500597847748
YSL,201,0.5399284862932062
VogueRunway,197,0.5390717969059897
