Name,Degree,Closeness
dior,1144,1.0
ELLEmagazine,194,0.5463228271251194
BritishVogue,170,0.5401322001888574
BoF,135,0.5313516024152346
ELLEUK,124,0.5286506469500925
wwd,117,0.5269461077844312
harpersbazaarus,114,0.5262189512419503
VogueRunway,112,0.5257352941176471
NYTFashion,111,0.5254937988056959
TeenVogue,111,0.5254937988056959
