Name,Degree,Closeness
prada,1005,1.0
MIUMIUofficial,107,0.5281135049921177
prada_japan,49,0.5124936257011729
lunarossa,31,0.5078322385042952
FondazionePrada,13,0.5032548823234853
shapeafuture,6,0.5014970059880239
RealisticPoetry,6,0.5014970059880239
sixlifeor,4,0.5009970089730807
pelella,3,0.5007473841554559
StefanoCavaleri,3,0.5007473841554559
