Name,Degree,Eigen
prada,1005,0.6980641388098225
MIUMIUofficial,107,0.1071055207567933
prada_japan,49,0.06172193572730731
lunarossa,31,0.047985331015834735
FondazionePrada,13,0.03561985026713352
RealisticPoetry,6,0.03046872952339692
shapeafuture,6,0.029704094631125326
sixlifeor,4,0.02805371060697128
JaneDoeShop,3,0.026946440947646772
vtIRkbllPeEUvLR,3,0.026946440947646772
