Name,Degree,Betweenness
prada,1005,0.9925870977119714
MIUMIUofficial,107,0.005483769730365437
prada_japan,49,0.0010884158226133606
lunarossa,31,0.000413272283998335
FondazionePrada,13,4.251650115954094e-05
shapeafuture,6,3.9642425323581296e-06
RealisticPoetry,6,3.96424253235813e-07
neeta1001,1,0.0
alexapetersennn,1,0.0
kristina19rr,1,0.0
