Name,Degree,Eigen
dior,1144,0.202461959274714
Coveteur,108,0.1341023939651634
susiebubble,109,0.1329754719619
TheCut,107,0.13295064912522955
BoF,135,0.13226078752248205
ELLEUK,124,0.1299001543150979
tmagazine,106,0.12753727368887058
WhoWhatWear,99,0.12560853242697834
CFDA,108,0.12438504874875811
VogueRunway,112,0.12428125697900193
