Name,Degree
dior,1144
ELLEmagazine,194
BritishVogue,170
BoF,135
ELLEUK,124
wwd,117
harpersbazaarus,114
VogueRunway,112
NYTFashion,111
TeenVogue,111
susiebubble,109
Coveteur,108
CFDA,108
TheCut,107
tmagazine,106
CNTraveler,102
wmag,101
WhoWhatWear,99
VanityFair,98
NETAPORTER,91
